Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ལ་གནས་ཤིང་འཇིགས་ཆེན་མོ། །མི་བསྐྱོད་པ་,ཡི་,,ཡིས་,ཡི་,དབུ་ལ་བརྒྱན། །ལང་ཚོ་གཞོན་ཞིང་ཕུན་སུམ་,K,p,,,,,,,,p=n d 83.33%,p ཡི(8322); d ཡིས(7433); n ཡི(8322); ,D3518,8
འབྱོར་སྙན་ངག་ཆེན་པོར་འགྱུར། །འབུམ་ཕྲག་གཅིག་,གིས་,,གི་,གིས་,བཟླས་པ་ཡིས། །འཇམ་དབྱངས་དང་མཚུངས་ཐོབ་པར་,K,p,,,,,,,,p=n d 83.33%,p གིས(2588), གཅིག་གིས(53); d གི(1276), གཅིག་གི(1644); n གིས(2588), གཅིག་གིས(53); ,D3518,10
,#ཊི་,,#ཊཱི་,#ཊི་,སཱ་དྷ་ནཾ། བོད་སྐད་དུ། རལ་པ་,K,,,,✓,,,,,p=n d 83.33%,p ཊི(165); d ཊཱི(4); n ཊི(165); ,D3518,1
གཅིག་མའི་སྒྲུབ་ཐབས། འཕགས་མ་ཨེ་ཀ་ཛཱ་,#ཊི་,,#ཊཱི་,#ཊི་,ལ་ཕྱག་འཚལ་ལོ། །ཨོཾ་ཨཱཿཧཱུཾ་ཨོཾ་བཛྲ་ཡོ་,K,,,,✓,,,,,p=n d 83.33%,p ཊི(165); d ཊཱི(4); n ཊི(165); ,D3518,2
ཕྱག་འཚལ་ལོ། །ཨོཾ་ཨཱཿཧཱུཾ་ཨོཾ་བཛྲ་ཡོ་གི་,ནི་,,#ནཱི་,ནི་,པྲ་ཏཱིཙྪ་མཾ་བ་ལིཾ་ཧྲཱིཾ་ཧཱུཾ་ཧ་ཧ་ཧ་,K,,,,✓,,,,,p=n d 83.33%,p ནི(44237), གི་ནི(657); d ནཱི(4); n ནི(44237), གི་ནི(657); ,D3518,3
ལིཾ་ཧྲཱིཾ་ཧཱུཾ་ཧ་ཧ་ཧ་ཧ་ཧེ་ཧེ་ཧཾ་,#ཕཊ་,,#ཧཿཕཊ་,#ཕཊ་,ཕཊ་མ་མ་ཤཱནྟིཾ་ཀུ་རུ་སྭཱ་ཧཱ། ཨོཾ་,K,,,,✓,,,,,p=n d 83.33%,p ཕཊ(2494); d ཧཿཕཊ(2); n ཕཊ(2494); ,D3518,4
ཧ་ཧ་ཧ་ཧེ་ཧེ་ཧཾ་ཧཿཕཊ་ཕཊ་མ་མ་,#ཤནྟཾི་,,#ཤཱནྟིཾ་,#ཤནྟཾི་,ཀུ་རུ་སྭཱ་ཧཱ། ཨོཾ་ཨཱཿརལླི་ཧཾ་ཞེས་པ་,K,,,,✓,,,,,p=n d 83.33%,p ; d ཤཱནྟིཾ(6); n ; ,D3518,5
ཕཊ་མ་མ་ཤཱནྟིཾ་ཀུ་རུ་སྭཱ་ཧཱ། ཨོཾ་,ཨ་ ར་ #ལི་,,#ཨཱཿརལླི་,ཨ་ ར་ #ལི་,ཧཾ་ཞེས་པ་ལ་སོགས་པ་བརྗོད་པར་བྱའོ། །,K,,,,✓,,,,,p=n d 83.33%,p ; d ; n ; ,D3518,6
ཚོགས། །མི་བཟད་གད་རྒྱངས་འཕྲོ་བ་ཅན། །,#ཊཾ་,,#ཊཱཾ་,#ཊཾ་,ཡིག་ས་བོན་ལས་བྱུང་བ། །དེ་མ་ཐག་,K,,,,✓,,,,,p=n d 83.33%,p ཊཾ(5); d ཊཱཾ(1); n ཊཾ(5); ,D3518,9
ཤོག །རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས་རྫོགས་སོ,།།_།།་  སློབ་དཔོན་ འཕགས་པ་ ཀླུ་སྒྲུབ་ ཞབས་ ཀྱིས་ བོད་ ནས་ གདན་ དྲངས་པ འོ,,,།།_།།་  སློབ་དཔོན་ འཕགས་པ་ ཀླུ་སྒྲུབ་ ཞབས་ ཀྱིས་ བོད་ ནས་ གདན་ དྲངས་པ འོ,,K,,,,,,l,,,p=n d 83.33%,p ; d (1), སོ(40406), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); n ; ,D3518,11
། །སྐུ་མདོག་ནག་མོ་དང་ལྡན་མ། །སྟག་,ལྤགས་,,ལྤགས་,པགས་,ཤམ་ཐབས་ཀུན་ནས་མནབས། །ཞལ་གཅིག་སྤྱན་ནི་,K,,,,,,≡,,,p=d n 8.33%,p ལྤགས(1), སྟག་ལྤགས(40); d ལྤགས(1), སྟག་ལྤགས(40); n པགས(3); ,D3518,7
 །རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས་རྫོགས་སོ,,,,,,K,,,,,,,[ ],,p=d=n 8.33%,p (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); d (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); n (1), །།_།།(7586), སོ།།_།།(1472), རྫོགས་སོ།།_།།(1081); ,D3518,12
