Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
། །ཤིན་ཏུ་ཕྲ་བའི་དངོས་ལ་ཡང་། །གང་,གིས་,,གི་,གིས་,ཆད་པར་རྣམ་བརྟགས་པ། །རྣམ་པར་མི་མཁས་,K,p,,,,,,,,p=n d 63.64%,p གིས(2588), གང་གིས(183); d གི(1276), གང་གི(8014); n གིས(2588), གང་གིས(183); ,D3836,7
༄༅༅། །རྒྱ་གར་སྐད་དུ། པྲ་ཏི་ཏྱ་ས་,མུ་ #ཏྤཱ་,,#མུཏྤ་,མུ་ #ཏྤཱ་,ད་ཧྲྀ་ད་ཡ་ཀཱ་རི་ཀཱ །བོད་སྐད་,K,,,,✓,,,,,p=n d 63.64%,p ; d མུཏྤ(2); n ; ,D3836,1
མཐོང་། །འདི་ལ་གསལ་བྱ་གང་ཡང་མེད། །,བཞག་པ ར་,,གཞག་པ ར་,བཞག་པ ར་,བྱ་བ་ཅི་ཡང་མེད། །ཡང་དག་ཉིད་ལ་,K,,,,,⟶,,,,p=n d 63.64%,p བཞག་པར(237); d གཞག་པར(2035); n བཞག་པར(237); ,D3836,10
རྣམས་ལས། །སྟོང་པའི་ཆོས་རྣམས་འབྱུང་བ་ཟད,།_།།_།,,།_། བདག་ དང་ བདག་ གི་ མེད་པ འི་ ཆོས །_།,།_།།_།,ཁ་ཐོན་མར་མེ་མེ་ལོང་རྒྱ། །མེ་ཤེལ་ས་,K,,,,,,l,,,p=n d 63.64%,p །_།།_།(1); d ; n །_།།_།(1); ,D3836,3
གསུམ་པོ་དག་ཏུ་ཟད་པར་འདུས། །དང་པོ་,བརྒྱད་ དང་,,བརྒྱད་ དང་,བརྒྱད་པ་,དགུ་ཉོན་མོངས། །གཉིས་དང་བཅུ་པ་ལས་ཡིན་,K,,,,,,≡,,,p=d n 18.18%,p བརྒྱད་དང(1633); d བརྒྱད་དང(1633); n བརྒྱད་པ(247); ,D3836,2
ལས། །སྟོང་པའི་ཆོས་རྣམས་འབྱུང་བ་ཟད། །བདག་དང་བདག་གི་མེད་པའི་ཆོས། །,ཁ་ཏོན་,,ཁ་ ཐོན་,ཁ་ཏོན་,མར་མེ་མེ་ལོང་རྒྱ། །མེ་ཤེལ་ས་བོན་,K,,,,,,≡,,,p=n d 63.64%,p ཁ་ཏོན(1310); d ; n ཁ་ཏོན(1310); ,D3836,4
རྣམས་འབྱུང་བ་ཟད། །བདག་དང་བདག་གི་མེད་པའི་ཆོས། །ཁ་ཐོན་མར་མེ་མེ་ལོང་,བརྒྱ,,རྒྱ,བརྒྱ,། །མེ་ཤེལ་ས་བོན་སྐྱུར་དང་སྒྲས། །ཕུང་,K,,,,,,≡,,,p=n d 63.64%,p བརྒྱ(115), བརྒྱ།_།(73); d རྒྱ(334), རྒྱ།_།(276); n བརྒྱ(115), བརྒྱ།_།(73); ,D3836,5
རྐྱེན་ལས་བྱུང་བའི་དོན་མ་མཐོང་། །འདི་ལ་,བསལ་,,གསལ་,བསལ་,བྱ་གང་ཡང་མེད། །གཞག་པར་བྱ་བ་ཅི་ཡང་,K,,,,,,≡,,,p=n d 63.64%,p བསལ(105); d གསལ(509), ལ་གསལ(150); n བསལ(105); ,D3836,9
ཡང་མཁས་རྟོགས་བྱ། །ཤིན་ཏུ་ཕྲ་བའི་དངོས་,ལ་,,ལ་,ལ་ལ་,ཡང་། །གང་གི་ཆད་པར་རྣམ་བརྟགས་པ། །,K,,,,,,s,,,p=d n 18.18%,p ལ(33965), ལ་ཡང(17091), དངོས་ལ(51); d ལ(33965), ལ་ཡང(17091), དངོས་ལ(51); n ལ་ལ(47); ,D3836,6
རྣམ་བརྟགས་པ། །རྣམ་པར་མི་མཁས་དེ་ཡི་,,,,,ནི། །རྐྱེན་ལས་བྱུང་བའི་དོན་མ་མཐོང་། །,K,,,,,,,[ ],,p=d=n 18.18%,p (1), བྱུང(27), ལས་བྱུང(8268), རྐྱེན་ལས་བྱུང(103); d (1), བྱུང(27), ལས་བྱུང(8268), རྐྱེན་ལས་བྱུང(103); n (1), བྱུང(27), ལས་བྱུང(8268), རྐྱེན་ལས་བྱུང(103); ,D3836,8
འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་རྫོགས་སོ།།,,,,,,K,,,,,,,[ ],,p=d=n 18.18%,p (1), །།(216); d (1), །།(216); n (1), །།(216); ,D3836,11
