Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
རྫོགས་པའི་སྙིང་ག་རུ། །ཡ་ཡིག་ལས་ནི་,འགྲོ་བ་,,འགྲོ་བ ར་,འགྲོ་བ་,སྦྱང་། །བདུན་པོ་ཡིས་ཀྱང་སྦྱང་བྱས་ནས། །,K,p,,,,,,,,p=n d 80.00%,p འགྲོ་བ(327), ནི་འགྲོ་བ(376); d འགྲོ་བར(3772), ནི་འགྲོ་བར(82); n འགྲོ་བ(327), ནི་འགྲོ་བ(376); ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,2
སྐུ་བརྒྱན་ཅིང་། །རུས་པས་བརྒྱན་ཅིང་དུམ་བུས་,#བསྒེགས,,སྒེག,#བསྒེགས, །མཚོན་ཆ་བཅུ་གཉིས་འཁྲུག་པར་བསམ། །མ་,K,,,nw✓,,,,,,p=n d 80.00%,p བསྒེགས(1); d སྒེག(7); n བསྒེགས(1); ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,4
,ར་ #སཱི་,,རི་ #སཱ་,ར་ #སཱི་,རི་སཱ་དྷ་ནཾ་ནཱ་མ། བོད་སྐད་དུ,K,,,,✓,,,,,p=n d 80.00%,p ; d ; n ; ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,1
སོ།། །།རྣལ་འབྱོར་པ་པྲཛྙཱ་ཤྲཱི་ཛྙཱ་ཤྲཱིཇྙཱ་ན་,#ཀིརྟིས་,,#ཀཱིརྟིས་,#ཀིརྟིས་,རང་འགྱུར་དུ་མཛད་པའོ། །,K,,,,✓,,,,,p=n d 80.00%,p ; d ཀཱིརྟིས(1); n ; ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,9
། །ཡ་ཡིག་ལས་ནི་འགྲོ་བར་སྦྱང་། །བདུན་པོ་,ཡིད་,,ཡིས་,ཡིད་,ཀྱང་སྦྱང་བྱས་ནས། །ཚངས་པའི་གནས་ལ་གཞག་,K,,,,,,≡,,,p=n d 80.00%,p ཡིད(168), ཡིད་ཀྱང(246); d ཡིས(7433), ཡིས་ཀྱང(121); n ཡིད(168), ཡིད་ཀྱང(246); ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,3
གསུང་ཐུགས་དང་སྐྱེ་མཆེད་དང་། །དབང་དང་བྱིན་,བརླབས་,,རླབས་,བརླབས་,མཆོད་དང་བསྟོད། །བདུད་རྩི་མྱོང་དང་སྤྲོ་བསྡུ་,K,,,,,,≡,,,p=n d 80.00%,p བརླབས(156), བྱིན་བརླབས(707); d རླབས(18), བྱིན་རླབས(209); n བརླབས(156), བྱིན་བརླབས(707); ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,5
ཧཱུཾ་ཧཱུཾ་ཕཊ་ཕཊ་སྭཱ་ཧཱ། དྲུག་པས་གཏོར་,མ འི་ བསྙེན་པ་,,མ་ བསྙེན་པ ར་,མ འི་ བསྙེན་པ་,བྱ། །སུམ་ཅུ་བརྒྱད་པས་ཉེ་བར་བསྙེན། །,K,,,,,,≡,,,p=n d 80.00%,p ; d ; n ; ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,6
རབ་དག་གྱུར་ནས་ཀྱང་། །གཤིན་རྗེ་གཤེད་དུ་,,,,ས་,འགྱུར་བར་ཤོག །གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་,K,,,,,,≡,,,p=d n 10.00%,p (1), དུ(11516), འགྱུར་བ(1037), དུ་འགྱུར་བ(993), དུ་འགྱུར་བར(208); d (1), དུ(11516), འགྱུར་བ(1037), དུ་འགྱུར་བ(993), དུ་འགྱུར་བར(208); n ས(542), དུ་ས(272); ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,7
སློབ་དཔོན་མཁས་པ་ཆེན་པོ་དཔལ་མར་མེ་མཛད་,ཡེ་ཤེས་,,,ཡེ་ཤེས་,ཀྱིས་མཛད་པ་རྫོགས་སོ།། །།རྣལ་འབྱོར་པ་པྲཛྙཱ་,K,,,,,,s,,,p=n d 80.00%,p ཡེ་ཤེས(66), ཡེ་ཤེས་ཀྱིས(90); d (1), མཛད(2928), ཀྱིས(6156), མཛད་ཀྱིས(63), མར་མེ་མཛད་ཀྱིས(51); n ཡེ་ཤེས(66), ཡེ་ཤེས་ཀྱིས(90); ,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།,8
